varpos_strict,varpos_5
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.05333333333333334,0.02
0.06,0.013333333333333334
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.04,0.006666666666666667
0.04,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.03333333333333333,0.0
0.03333333333333333,0.0
0.04,0.0
0.04,0.0
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.006666666666666667
0.08,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.09333333333333334,0.013333333333333334
0.1,0.013333333333333334
0.1,0.02
0.06666666666666667,0.02
0.06,0.02
0.06666666666666667,0.02
0.05333333333333334,0.02
0.06,0.02
0.06,0.02
0.06666666666666667,0.02
0.06666666666666667,0.02
0.06666666666666667,0.02
0.06666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.1,0.006666666666666667
0.09333333333333334,0.006666666666666667
0.09333333333333334,0.006666666666666667
0.1,0.006666666666666667
0.1,0.013333333333333334
0.1,0.013333333333333334
0.10666666666666667,0.013333333333333334
0.11333333333333333,0.02
0.11333333333333333,0.02
0.10666666666666667,0.02
0.10666666666666667,0.02
0.10666666666666667,0.02666666666666667
0.10666666666666667,0.02666666666666667
0.10666666666666667,0.02666666666666667
0.10666666666666667,0.02666666666666667
0.10666666666666667,0.02666666666666667
0.09333333333333334,0.02
0.1,0.02
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.09333333333333334,0.006666666666666667
0.09333333333333334,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08,0.013333333333333334
0.08,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.06,0.02
0.06,0.02
0.06666666666666667,0.02
0.06,0.02
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.05333333333333334,0.02
0.06666666666666667,0.02
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.08,0.02666666666666667
0.08,0.03333333333333333
0.08,0.04
0.08666666666666667,0.04666666666666667
0.08666666666666667,0.04
0.09333333333333334,0.04
0.09333333333333334,0.04
0.09333333333333334,0.04
0.1,0.04666666666666667
0.1,0.03333333333333333
0.09333333333333334,0.03333333333333333
0.09333333333333334,0.02666666666666667
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08666666666666667,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.013333333333333334
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.06,0.013333333333333334
0.06666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.03333333333333333
0.07333333333333333,0.03333333333333333
0.07333333333333333,0.03333333333333333
0.06666666666666667,0.03333333333333333
0.06666666666666667,0.03333333333333333
0.07333333333333333,0.03333333333333333
0.08,0.03333333333333333
0.08,0.03333333333333333
0.06666666666666667,0.04
0.06666666666666667,0.04666666666666667
0.06666666666666667,0.04666666666666667
0.06666666666666667,0.04666666666666667
0.06666666666666667,0.04666666666666667
0.05333333333333334,0.04
0.05333333333333334,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.04666666666666667,0.04
0.06,0.04
0.06,0.04
0.06,0.04
0.06,0.04
0.06,0.04666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.08,0.006666666666666667
0.08,0.013333333333333334
0.08,0.02
0.08,0.02
0.08,0.02
0.08,0.02
0.08,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.0
0.04666666666666667,0.0
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.013333333333333334
0.06,0.02
0.06,0.02
0.06,0.02
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06,0.02
0.06,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02
0.06,0.02
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.03333333333333333
0.08,0.04
0.08,0.04
0.07333333333333333,0.04
0.07333333333333333,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.006666666666666667
0.06,0.0
0.06,0.0
0.04666666666666667,0.0
0.06,0.0
0.04,0.0
0.04,0.0
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.02666666666666667,0.02
0.02666666666666667,0.02
0.02666666666666667,0.0
0.02,0.0
0.02666666666666667,0.0
0.03333333333333333,0.0
0.03333333333333333,0.0
0.03333333333333333,0.0
0.03333333333333333,0.0
0.04,0.0
0.04666666666666667,0.0
0.04666666666666667,0.0
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.03333333333333333,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.03333333333333333
0.04666666666666667,0.03333333333333333
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.06,0.02666666666666667
0.06666666666666667,0.02
0.06666666666666667,0.02
0.08,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08,0.03333333333333333
0.08,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.1,0.02666666666666667
0.1,0.02666666666666667
0.10666666666666667,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.1,0.013333333333333334
0.1,0.006666666666666667
0.1,0.006666666666666667
0.1,0.006666666666666667
0.1,0.006666666666666667
0.08,0.0
0.07333333333333333,0.0
0.07333333333333333,0.0
0.03333333333333333,0.0
0.03333333333333333,0.0
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.02,0.006666666666666667
0.02,0.006666666666666667
0.02,0.013333333333333334
0.02,0.02
0.02,0.02
0.02,0.02
0.02,0.02
0.03333333333333333,0.02
0.03333333333333333,0.02
0.03333333333333333,0.02
0.04666666666666667,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02
0.06,0.02
0.06,0.02
0.06666666666666667,0.02
0.06666666666666667,0.0
0.08,0.0
0.08,0.0
0.08666666666666667,0.0
0.08666666666666667,0.0
0.09333333333333334,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.02
0.04666666666666667,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.06,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.06,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02
0.06,0.02
0.06,0.02
0.06666666666666667,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08,0.006666666666666667
0.08,0.013333333333333334
0.08,0.013333333333333334
0.08,0.013333333333333334
0.08,0.013333333333333334
0.08,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.09333333333333334,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.08666666666666667,0.013333333333333334
0.07333333333333333,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.06,0.013333333333333334
0.06,0.013333333333333334
0.05333333333333334,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.02666666666666667,0.02
0.02666666666666667,0.02
0.02666666666666667,0.02
0.02666666666666667,0.013333333333333334
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.04,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.04,0.013333333333333334
0.04,0.02
0.04666666666666667,0.02
0.05333333333333334,0.02
0.06,0.02
0.06,0.02
0.04666666666666667,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.07333333333333333,0.02
0.06666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.03333333333333333
0.07333333333333333,0.03333333333333333
0.07333333333333333,0.03333333333333333
0.08,0.02666666666666667
0.08666666666666667,0.02
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06,0.006666666666666667
0.06,0.0
0.06666666666666667,0.0
0.06,0.006666666666666667
0.06,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.06,0.013333333333333334
0.06666666666666667,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.04666666666666667,0.02666666666666667
0.05333333333333334,0.02666666666666667
0.05333333333333334,0.03333333333333333
0.05333333333333334,0.03333333333333333
0.05333333333333334,0.03333333333333333
0.05333333333333334,0.03333333333333333
0.05333333333333334,0.03333333333333333
0.05333333333333334,0.013333333333333334
0.04666666666666667,0.0
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.013333333333333334,0.0
0.013333333333333334,0.0
0.013333333333333334,0.0
0.013333333333333334,0.0
0.013333333333333334,0.0
0.006666666666666667,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.006666666666666667,0.0
0.013333333333333334,0.0
0.02666666666666667,0.0
0.02666666666666667,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.03333333333333333,0.0
0.02666666666666667,0.0
0.03333333333333333,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.04,0.0
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.0
0.05333333333333334,0.0
0.05333333333333334,0.0
0.06,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.02
0.06,0.02
0.06666666666666667,0.02
0.06,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06,0.02666666666666667
0.06,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02
0.06666666666666667,0.02
0.06666666666666667,0.0
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.0
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.02666666666666667,0.013333333333333334
0.02666666666666667,0.013333333333333334
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.006666666666666667
0.02666666666666667,0.0
0.02666666666666667,0.0
0.02,0.0
0.02,0.0
0.03333333333333333,0.0
0.04,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.006666666666666667
0.07333333333333333,0.013333333333333334
0.08,0.02
0.08666666666666667,0.02
0.09333333333333334,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.08,0.02
0.08,0.02
0.08,0.02666666666666667
0.08,0.02
0.08,0.02
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.09333333333333334,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08666666666666667,0.02666666666666667
0.08,0.02666666666666667
0.08,0.02
0.08,0.02
0.08666666666666667,0.02
0.08,0.02
0.08666666666666667,0.02
0.08,0.02666666666666667
0.08,0.02
0.08,0.02
0.08,0.02
0.08666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.06666666666666667,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02
0.06666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.02
0.04666666666666667,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.02
0.05333333333333334,0.02
0.05333333333333334,0.02
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.04,0.013333333333333334
0.03333333333333333,0.013333333333333334
0.04666666666666667,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06666666666666667,0.013333333333333334
0.06,0.006666666666666667
0.06,0.006666666666666667
0.05333333333333334,0.006666666666666667
0.06,0.006666666666666667
0.06,0.006666666666666667
0.06666666666666667,0.006666666666666667
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.06666666666666667,0.0
0.07333333333333333,0.0
0.06666666666666667,0.0
0.07333333333333333,0.0
0.07333333333333333,0.0
0.06666666666666667,0.006666666666666667
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.03333333333333333,0.006666666666666667
0.04666666666666667,0.006666666666666667
0.04666666666666667,0.0
0.04666666666666667,0.0
0.04666666666666667,0.0
0.05333333333333334,0.0
0.05333333333333334,0.0
0.06,0.0
0.06,0.0
0.06,0.0
0.06,0.0
0.06,0.0
0.06,0.0
0.05333333333333334,0.0
0.05333333333333334,0.0
0.05333333333333334,0.0
0.04666666666666667,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.006666666666666667
0.04,0.013333333333333334
0.04666666666666667,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.013333333333333334
0.05333333333333334,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.06666666666666667,0.02666666666666667
0.07333333333333333,0.02666666666666667
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.013333333333333334
0.07333333333333333,0.02
0.07333333333333333,0.02
0.07333333333333333,0.02666666666666667
0.08,0.02666666666666667
